AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value
1,Armenia,5510,Production,515,Apples,1992,68800
1,Armenia,5510,Production,515,Apples,1993,25300
1,Armenia,5510,Production,515,Apples,1994,65900
1,Armenia,5510,Production,515,Apples,1995,75500
1,Armenia,5510,Production,515,Apples,1996,80400
1,Armenia,5510,Production,515,Apples,1997,49470
1,Armenia,5510,Production,515,Apples,1998,40700
1,Armenia,5510,Production,515,Apples,1999,23522
1,Armenia,5510,Production,515,Apples,2000,23230
1,Armenia,5510,Production,515,Apples,2001,35380
1,Armenia,5510,Production,515,Apples,2002,35200
1,Armenia,5510,Production,515,Apples,2003,52800
1,Armenia,5510,Production,515,Apples,2004,56000
1,Armenia,5510,Production,515,Apples,2005,210000
1,Armenia,5510,Production,515,Apples,2006,159700
1,Armenia,5510,Production,515,Apples,2007,111836
1,Armenia,5510,Production,515,Apples,2008,117199
1,Armenia,5510,Production,515,Apples,2009,120844
1,Armenia,5510,Production,515,Apples,2010,56487
1,Armenia,5510,Production,515,Apples,2011,77602
2,Afghanistan,5510,Production,515,Apples,1962,15100
2,Afghanistan,5510,Production,515,Apples,1963,15100
2,Afghanistan,5510,Production,515,Apples,1964,18400
2,Afghanistan,5510,Production,515,Apples,1965,20400
2,Afghanistan,5510,Production,515,Apples,1966,22800
2,Afghanistan,5510,Production,515,Apples,1967,27600
2,Afghanistan,5510,Production,515,Apples,1968,27900
2,Afghanistan,5510,Production,515,Apples,1969,28200
2,Afghanistan,5510,Production,515,Apples,1970,27300
2,Afghanistan,5510,Production,515,Apples,1971,21500
2,Afghanistan,5510,Production,515,Apples,1972,26600
2,Afghanistan,5510,Production,515,Apples,1973,27600
2,Afghanistan,5510,Production,515,Apples,1974,27800
2,Afghanistan,5510,Production,515,Apples,1975,27900
2,Afghanistan,5510,Production,515,Apples,1976,26200
2,Afghanistan,5510,Production,515,Apples,1977,15500
2,Afghanistan,5510,Production,515,Apples,1978,22700
2,Afghanistan,5510,Production,515,Apples,1979,21600
2,Afghanistan,5510,Production,515,Apples,1980,22300
2,Afghanistan,5510,Production,515,Apples,1981,22100
2,Afghanistan,5510,Production,515,Apples,1982,21400
2,Afghanistan,5510,Production,515,Apples,1983,20800
2,Afghanistan,5510,Production,515,Apples,1984,20000
2,Afghanistan,5510,Production,515,Apples,1985,19100
2,Afghanistan,5510,Production,515,Apples,1986,19400
2,Afghanistan,5510,Production,515,Apples,1987,16600
2,Afghanistan,5510,Production,515,Apples,1988,16900
2,Afghanistan,5510,Production,515,Apples,1989,16900
2,Afghanistan,5510,Production,515,Apples,1990,16867
2,Afghanistan,5510,Production,515,Apples,1991,16913
2,Afghanistan,5510,Production,515,Apples,1992,17200
2,Afghanistan,5510,Production,515,Apples,1993,17000
2,Afghanistan,5510,Production,515,Apples,1994,17500
2,Afghanistan,5510,Production,515,Apples,1995,17053
2,Afghanistan,5510,Production,515,Apples,1996,16880
2,Afghanistan,5510,Production,515,Apples,1997,17674
2,Afghanistan,5510,Production,515,Apples,1998,17555
2,Afghanistan,5510,Production,515,Apples,1999,17772
2,Afghanistan,5510,Production,515,Apples,2000,16555
2,Afghanistan,5510,Production,515,Apples,2001,18016
2,Afghanistan,5510,Production,515,Apples,2002,17380
2,Afghanistan,5510,Production,515,Apples,2003,21134
2,Afghanistan,5510,Production,515,Apples,2004,21948
2,Afghanistan,5510,Production,515,Apples,2005,25732
2,Afghanistan,5510,Production,515,Apples,2006,52500
2,Afghanistan,5510,Production,515,Apples,2007,59500
2,Afghanistan,5510,Production,515,Apples,2008,59090
2,Afghanistan,5510,Production,515,Apples,2009,72765
2,Afghanistan,5510,Production,515,Apples,2010,59850
2,Afghanistan,5510,Production,515,Apples,2011,62041
3,Albania,5510,Production,515,Apples,1962,8039
3,Albania,5510,Production,515,Apples,1963,7931
3,Albania,5510,Production,515,Apples,1964,8498
3,Albania,5510,Production,515,Apples,1965,8000
3,Albania,5510,Production,515,Apples,1966,9000
3,Albania,5510,Production,515,Apples,1967,10000
3,Albania,5510,Production,515,Apples,1968,10000
3,Albania,5510,Production,515,Apples,1969,11000
3,Albania,5510,Production,515,Apples,1970,9000
3,Albania,5510,Production,515,Apples,1971,10000
3,Albania,5510,Production,515,Apples,1972,11000
3,Albania,5510,Production,515,Apples,1973,14000
3,Albania,5510,Production,515,Apples,1974,13000
3,Albania,5510,Production,515,Apples,1975,14000
3,Albania,5510,Production,515,Apples,1976,15000
3,Albania,5510,Production,515,Apples,1977,13000
3,Albania,5510,Production,515,Apples,1978,14000
3,Albania,5510,Production,515,Apples,1979,15000
3,Albania,5510,Production,515,Apples,1980,15000
3,Albania,5510,Production,515,Apples,1981,15000
3,Albania,5510,Production,515,Apples,1982,23000
3,Albania,5510,Production,515,Apples,1983,21000
3,Albania,5510,Production,515,Apples,1984,21000
3,Albania,5510,Production,515,Apples,1985,18200
3,Albania,5510,Production,515,Apples,1986,15000
3,Albania,5510,Production,515,Apples,1987,16000
3,Albania,5510,Production,515,Apples,1988,14000
3,Albania,5510,Production,515,Apples,1989,18000
3,Albania,5510,Production,515,Apples,1990,13100
3,Albania,5510,Production,515,Apples,1991,10000
3,Albania,5510,Production,515,Apples,1992,10000
3,Albania,5510,Production,515,Apples,1993,10000
3,Albania,5510,Production,515,Apples,1994,9500
3,Albania,5510,Production,515,Apples,1995,10000
3,Albania,5510,Production,515,Apples,1996,10000
3,Albania,5510,Production,515,Apples,1997,11300
3,Albania,5510,Production,515,Apples,1998,11500
3,Albania,5510,Production,515,Apples,1999,11800
3,Albania,5510,Production,515,Apples,2000,12000
3,Albania,5510,Production,515,Apples,2001,15794
3,Albania,5510,Production,515,Apples,2002,15800
3,Albania,5510,Production,515,Apples,2003,13300
3,Albania,5510,Production,515,Apples,2004,15000
3,Albania,5510,Production,515,Apples,2005,16000
3,Albania,5510,Production,515,Apples,2006,27566
3,Albania,5510,Production,515,Apples,2007,36000
3,Albania,5510,Production,515,Apples,2008,45000
3,Albania,5510,Production,515,Apples,2009,47202
3,Albania,5510,Production,515,Apples,2010,54604
3,Albania,5510,Production,515,Apples,2011,64000
4,Algeria,5510,Production,515,Apples,1962,14000
4,Algeria,5510,Production,515,Apples,1963,13000
4,Algeria,5510,Production,515,Apples,1964,12441
4,Algeria,5510,Production,515,Apples,1965,13151
