Faostat group code,Group name,Area code,Area name
5100,Africa,4,Algeria
5100,Africa,7,Angola
5100,Africa,20,Botswana
5100,Africa,24,British Indian Ocean Territory
5100,Africa,29,Burundi
5100,Africa,32,Cameroon
5100,Africa,35,Cabo Verde
5100,Africa,37,Central African Republic
5100,Africa,39,Chad
5100,Africa,45,Comoros
5100,Africa,46,Congo
5100,Africa,53,Benin
5100,Africa,59,Egypt
5100,Africa,61,Equatorial Guinea
5100,Africa,62,Ethiopia PDR
5100,Africa,72,Djibouti
5100,Africa,74,Gabon
5100,Africa,75,Gambia
5100,Africa,81,Ghana
5100,Africa,90,Guinea
5100,Africa,107,Côte d'Ivoire
5100,Africa,114,Kenya
5100,Africa,122,Lesotho
5100,Africa,123,Liberia
5100,Africa,124,Libya
5100,Africa,129,Madagascar
5100,Africa,130,Malawi
5100,Africa,133,Mali
5100,Africa,136,Mauritania
5100,Africa,137,Mauritius
5100,Africa,143,Morocco
5100,Africa,144,Mozambique
5100,Africa,147,Namibia
5100,Africa,158,Niger
5100,Africa,159,Nigeria
5100,Africa,175,Guinea-Bissau
5100,Africa,178,Eritrea
5100,Africa,181,Zimbabwe
5100,Africa,182,Réunion
5100,Africa,184,Rwanda
5100,Africa,187,"Saint Helena, Ascension and Tristan da Cunha"
5100,Africa,193,Sao Tome and Principe
5100,Africa,195,Senegal
5100,Africa,196,Seychelles
5100,Africa,197,Sierra Leone
5100,Africa,201,Somalia
5100,Africa,202,South Africa
5100,Africa,205,Western Sahara
5100,Africa,206,Sudan (former)
5100,Africa,209,Swaziland
5100,Africa,215,United Republic of Tanzania
5100,Africa,217,Togo
5100,Africa,222,Tunisia
5100,Africa,226,Uganda
5100,Africa,233,Burkina Faso
5100,Africa,238,Ethiopia
5100,Africa,250,Democratic Republic of the Congo
5100,Africa,251,Zambia
5100,Africa,270,Mayotte
5100,Africa,276,Sudan
5100,Africa,277,South Sudan
5200,Americas,8,Antigua and Barbuda
5200,Americas,9,Argentina
5200,Americas,12,Bahamas
5200,Americas,14,Barbados
5200,Americas,17,Bermuda
5200,Americas,19,Bolivia (Plurinational State of)
5200,Americas,21,Brazil
5200,Americas,22,Aruba
5200,Americas,23,Belize
5200,Americas,33,Canada
5200,Americas,36,Cayman Islands
5200,Americas,40,Chile
5200,Americas,44,Colombia
5200,Americas,48,Costa Rica
5200,Americas,49,Cuba
5200,Americas,55,Dominica
5200,Americas,56,Dominican Republic
5200,Americas,58,Ecuador
5200,Americas,60,El Salvador
5200,Americas,65,Falkland Islands (Malvinas)
5200,Americas,69,French Guiana
5200,Americas,85,Greenland
5200,Americas,86,Grenada
5200,Americas,87,Guadeloupe
5200,Americas,89,Guatemala
5200,Americas,91,Guyana
5200,Americas,93,Haiti
5200,Americas,95,Honduras
5200,Americas,109,Jamaica
5200,Americas,135,Martinique
5200,Americas,138,Mexico
5200,Americas,142,Montserrat
5200,Americas,151,Netherlands Antilles
5200,Americas,157,Nicaragua
5200,Americas,166,Panama
5200,Americas,169,Paraguay
5200,Americas,170,Peru
5200,Americas,177,Puerto Rico
